model,frame_number,inference_time_ms,fps,gpu_memory_mb,gpu_util_percent
yolo11n,1,476.7415,2.1,1857.26,5
yolo11n,2,18.2799,54.7,1858.89,4
yolo11n,3,18.5502,53.91,1858.89,4
yolo11n,4,17.6938,56.52,1858.89,4
yolo11n,5,18.1006,55.25,1858.89,4
yolo11n,6,17.0831,58.54,1858.89,19
yolo11n,7,17.8446,56.04,1858.89,19
yolo11n,8,20.0147,49.96,1858.89,19
yolo11n,9,17.8107,56.15,1858.89,19
yolo11n,10,17.7159,56.45,1858.89,19
yolo11n,11,19.5483,51.16,1854.51,19
yolo11n,12,17.7489,56.34,1854.26,19
yolo11n,13,17.2116,58.1,1854.26,19
yolo11n,14,17.8204,56.12,1854.26,21
yolo11n,15,17.3785,57.54,1854.26,21
yolo11n,16,17.5533,56.97,1854.26,21
yolo11n,17,17.722,56.43,1854.26,21
yolo11n,18,17.1903,58.17,1854.26,17
yolo11n,19,18.0091,55.53,1854.26,17
yolo11n,20,18.7364,53.37,1854.26,17
yolo11n,21,17.8002,56.18,1854.26,17
yolo11n,22,17.7175,56.44,1850.32,18
yolo11n,23,17.6599,56.63,1850.32,18
yolo11n,24,17.33,57.7,1850.32,18
yolo11n,25,18.2007,54.94,1850.32,18
yolo11n,26,17.6582,56.63,1850.32,18
yolo11n,27,17.4302,57.37,1850.32,18
yolo11n,28,17.4508,57.3,1850.32,18
yolo11n,29,17.4301,57.37,1850.32,18
yolo11n,30,17.6322,56.71,1850.32,18
yolo11n,31,18.0599,55.37,1865.51,18
yolo11n,32,17.6902,56.53,1865.51,18
yolo11n,33,17.1928,58.16,1865.51,18
yolo11n,34,17.1408,58.34,1865.51,18
yolo11n,35,17.8164,56.13,1865.51,17
yolo11n,36,17.6439,56.68,1865.51,17
yolo11n,37,17.3322,57.7,1865.51,17
yolo11n,38,17.5121,57.1,1865.51,17
yolo11n,39,17.4716,57.24,1865.51,16
yolo11n,40,17.3029,57.79,1865.51,16
yolo11n,41,17.5535,56.97,1865.51,16
yolo11n,42,17.8755,55.94,1865.51,16
yolo11n,43,17.5411,57.01,1865.51,16
yolo11n,44,17.1958,58.15,1865.51,16
yolo11n,45,17.7649,56.29,1865.51,16
yolo11n,46,17.8795,55.93,1865.51,16
yolo11n,47,17.3685,57.58,1865.51,16
yolo11n,48,17.4802,57.21,1865.51,16
yolo11n,49,17.235,58.02,1865.51,16
yolo11n,50,17.0838,58.53,1865.51,16
yolo11n,51,16.8483,59.35,1865.51,22
yolo11n,52,17.3867,57.52,1865.51,22
yolo11n,53,16.7636,59.65,1865.51,22
yolo11n,54,17.1943,58.16,1865.51,22
yolo11n,55,17.0785,58.55,1865.51,20
yolo11n,56,17.4646,57.26,1865.51,20
yolo11n,57,17.1654,58.26,1865.51,20
yolo11n,58,16.9639,58.95,1865.51,20
yolo11n,59,17.3345,57.69,1865.51,20
yolo11n,60,16.7298,59.77,1865.51,20
yolo11n,61,17.1502,58.31,1865.51,20
yolo11n,62,17.5883,56.86,1865.51,20
yolo11n,63,16.9762,58.91,1865.51,18
yolo11n,64,17.3419,57.66,1865.51,18
yolo11n,65,17.2752,57.89,1865.51,18
yolo11n,66,17.5896,56.85,1865.51,18
yolo11n,67,17.7252,56.42,1865.51,22
yolo11n,68,17.2248,58.06,1865.51,22
yolo11n,69,17.5645,56.93,1865.51,22
yolo11n,70,17.2113,58.1,1865.51,22
yolo11n,71,17.6092,56.79,1865.51,22
yolo11n,72,17.2381,58.01,1865.51,22
yolo11n,73,17.1408,58.34,1865.51,22
yolo11n,74,17.2963,57.82,1865.51,22
yolo11n,75,16.8869,59.22,1865.51,18
yolo11n,76,17.4749,57.22,1865.51,18
yolo11n,77,17.4475,57.31,1865.51,18
yolo11n,78,17.7713,56.27,1865.51,18
yolo11n,79,17.427,57.38,1865.51,18
yolo11n,80,17.6586,56.63,1865.51,22
yolo11n,81,17.2851,57.85,1865.51,22
yolo11n,82,17.2824,57.86,1865.51,22
yolo11n,83,18.0151,55.51,1865.51,22
yolo11n,84,17.0129,58.78,1865.51,20
yolo11n,85,17.2329,58.03,1865.51,20
yolo11n,86,17.3737,57.56,1865.51,20
yolo11n,87,17.4,57.47,1865.51,20
yolo11n,88,17.1872,58.18,1865.51,20
yolo11n,89,17.3463,57.65,1865.51,20
yolo11n,90,16.9536,58.98,1865.51,20
yolo11n,91,17.5014,57.14,1865.51,20
yolo11n,92,17.1629,58.27,1865.51,20
yolo11n,93,17.1866,58.18,1865.51,20
yolo11n,94,17.2039,58.13,1865.51,20
yolo11n,95,16.9499,59.0,1865.51,20
yolo11n,96,17.5704,56.91,1865.51,20
yolo11n,97,17.2617,57.93,1865.51,20
yolo11n,98,16.9562,58.98,1865.51,20
yolo11n,99,17.1207,58.41,1865.51,20
yolo11n,100,16.9443,59.02,1865.51,20
yolo11s,1,482.7303,2.07,1887.83,8
yolo11s,2,22.3138,44.82,1889.46,6
yolo11s,3,17.3133,57.76,1889.46,6
yolo11s,4,17.1806,58.21,1889.46,6
yolo11s,5,18.6735,53.55,1889.46,21
